ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  365000         0.0000         0.0000         0.0000         0.0000          -5617.2673       417.8165         0.0000         0.0000       913.3017          -4286.1490       290.1479     -5199.4508     -4283.9802       302.1781           -165.1774      -153.7723     22866.2980      -192.9844      -192.9673
ENERGY:  370000         0.0000         0.0000         0.0000         0.0000          -5664.6544       387.6433         0.0000         0.0000       935.5606          -4341.4505       297.2194     -5277.0111     -4339.5512       297.6481           -454.2980      -428.1377     22536.7280      -266.5992      -266.6758
ENERGY:  375000         0.0000         0.0000         0.0000         0.0000          -5613.8355       393.1145         0.0000         0.0000       946.9738          -4273.7472       300.8453     -5220.7210     -4271.6269       294.9193           -149.5392      -126.0718     22548.5642      -261.8532      -262.0060
ENERGY:  380000         0.0000         0.0000         0.0000         0.0000          -5615.3502       420.0092         0.0000         0.0000       940.7450          -4254.5960       298.8664     -5195.3410     -4250.7783       299.9505           -211.2077      -195.8660     22959.4720      -209.4845      -209.4307
ENERGY:  385000         0.0000         0.0000         0.0000         0.0000          -5633.2789       410.1458         0.0000         0.0000       959.9292          -4263.2039       304.9611     -5223.1330     -4261.2951       299.5966           -367.4190      -337.5160     22875.6849      -230.4536      -230.3889
ENERGY:  390000         0.0000         0.0000         0.0000         0.0000          -5658.6327       408.9409         0.0000         0.0000       940.0460          -4309.6458       298.6444     -5249.6918     -4306.9384       296.4939           -297.5472      -277.7147     22560.6283      -311.1599      -311.2011
ENERGY:  395000         0.0000         0.0000         0.0000         0.0000          -5644.7990       417.8727         0.0000         0.0000       971.6821          -4255.2441       308.6949     -5226.9262     -4252.7772       297.3282            141.1100       172.4811     22568.7151      -212.9595      -212.9291
ENERGY:  400000         0.0000         0.0000         0.0000         0.0000          -5661.1760       410.7202         0.0000         0.0000       924.7563          -4325.6995       293.7870     -5250.4558     -4324.1957       296.3698           -322.5721      -294.3813     22729.1472      -243.6711      -243.6125
ENERGY:  405000         0.0000         0.0000         0.0000         0.0000          -5661.8261       399.0292         0.0000         0.0000       985.6700          -4277.1269       313.1387     -5262.7969     -4274.4604       298.2584           -259.8174      -242.6554     22624.0544      -184.9739      -184.9989
ENERGY:  410000         0.0000         0.0000         0.0000         0.0000          -5637.7699       424.1810         0.0000         0.0000       935.2404          -4278.3486       297.1177     -5213.5890     -4276.1998       297.8071            193.0838       211.0517     22574.8821      -304.3530      -304.4515
ENERGY:  415000         0.0000         0.0000         0.0000         0.0000          -5625.5411       384.8767         0.0000         0.0000       927.5826          -4313.0818       294.6849     -5240.6644     -4311.1939       297.8259           -655.4651      -637.8466     22861.0802      -210.1644      -210.1628
ENERGY:  420000         0.0000         0.0000         0.0000         0.0000          -5626.9289       386.8255         0.0000         0.0000       953.2014          -4286.9020       302.8237     -5240.1033     -4284.7170       295.0283           -518.3929      -498.1561     22858.4537      -177.9158      -177.8780
ENERGY:  425000         0.0000         0.0000         0.0000         0.0000          -5568.9510       351.9323         0.0000         0.0000       877.4132          -4339.6055       278.7465     -5217.0187     -4337.6889       297.6165           -808.4502      -797.2130     22763.1803      -220.1556      -220.1739
ENERGY:  430000         0.0000         0.0000         0.0000         0.0000          -5611.0656       435.7757         0.0000         0.0000       950.6178          -4224.6721       302.0029     -5175.2900     -4221.3429       298.6628            234.5669       259.4917     22617.9557      -279.9655      -279.9796
ENERGY:  435000         0.0000         0.0000         0.0000         0.0000          -5506.3971       335.7624         0.0000         0.0000       933.7184          -4236.9163       296.6341     -5170.6347     -4234.5392       304.7177          -1213.9636     -1202.2335     23048.8480      -207.8788      -207.8258
ENERGY:  440000         0.0000         0.0000         0.0000         0.0000          -5608.9067       404.4910         0.0000         0.0000       918.8371          -4285.5785       291.9065     -5204.4156     -4283.5146       298.2321            -71.3467       -54.6966     22798.1476      -248.1479      -248.0836
ENERGY:  445000         0.0000         0.0000         0.0000         0.0000          -5638.0969       393.4362         0.0000         0.0000       976.3733          -4268.2874       310.1852     -5244.6607     -4265.2314       296.9846           -619.3914      -607.4056     22849.3470      -197.6342      -197.6974
ENERGY:  450000         0.0000         0.0000         0.0000         0.0000          -5615.3087       414.0626         0.0000         0.0000       970.1265          -4231.1197       308.2007     -5201.2461     -4228.4739       303.5083            317.1549       350.0774     22494.1477      -210.7118      -210.7006
ENERGY:  455000         0.0000         0.0000         0.0000         0.0000          -5596.5955       410.7503         0.0000         0.0000       932.1108          -4253.7344       296.1234     -5185.8452     -4251.2311       299.2472            407.3301       441.8111     22441.3254      -196.9850      -196.7759
ENERGY:  460000         0.0000         0.0000         0.0000         0.0000          -5571.2090       338.0611         0.0000         0.0000       917.7987          -4315.3492       291.5766     -5233.1479     -4312.6870       294.6699           -862.5583      -830.1468     22653.7798      -267.0167      -267.0469
ENERGY:  465000         0.0000         0.0000         0.0000         0.0000          -5609.1265       395.2902         0.0000         0.0000       912.3770          -4301.4592       289.8542     -5213.8362     -4299.7739       295.1742           -291.2714      -263.0949     22859.4050      -270.7538      -270.7150
ENERGY:  470000         0.0000         0.0000         0.0000         0.0000          -5503.5144       346.3056         0.0000         0.0000       955.3296          -4201.8791       303.4998     -5157.2087     -4198.7642       301.8210           -742.4842      -709.9266     22903.7332      -155.6341      -155.5410
ENERGY:  475000         0.0000         0.0000         0.0000         0.0000          -5560.5913       393.6348         0.0000         0.0000       962.3994          -4204.5571       305.7458     -5166.9565     -4202.6780       301.8202            161.7250       188.0506     22841.3682      -269.5198      -269.5162
ENERGY:  480000         0.0000         0.0000         0.0000         0.0000          -5611.7175       401.4080         0.0000         0.0000       952.7693          -4257.5403       302.6864     -5210.3096     -4255.2614       305.3535             63.9788        88.2562     22604.9885      -217.3098      -217.4396
ENERGY:  485000         0.0000         0.0000         0.0000         0.0000          -5581.5903       380.3450         0.0000         0.0000       922.4431          -4278.8021       293.0521     -5201.2453     -4276.9028       301.0060           -526.3527      -488.6070     22801.8002      -226.3928      -226.3425
ENERGY:  490000         0.0000         0.0000         0.0000         0.0000          -5605.6865       405.8777         0.0000         0.0000       998.2135          -4201.5953       317.1237     -5199.8089     -4199.4221       299.3207            131.1201       131.6114     22487.2632      -206.4993      -206.4978
ENERGY:  495000         0.0000         0.0000         0.0000         0.0000          -5590.5106       431.5413         0.0000         0.0000       939.9181          -4219.0512       298.6037     -5158.9693     -4216.6406       303.0132            305.1649       322.0500     22863.1372      -225.8310      -225.7934
ENERGY:  500000         0.0000         0.0000         0.0000         0.0000          -5537.6013       361.0528         0.0000         0.0000       946.0164          -4230.5322       300.5411     -5176.5485     -4228.2282       305.8524           -686.6315      -675.9044     22851.6551      -248.5854      -248.5740
