1 2.0
2 -0.5
3 0.5
4 1.0
5 2.5
6 2.5
7 3.0
8 3.5
9 2.5
10 1.5
11 2.0
12 1.5
13 3.0
14 6.5
15 6.0
16 6.0
17 10.0
18 11.0
19 9.5
20 8.5
21 11.5
22 13.0
23 12.5
24 15.5
25 15.0
26 12.0
27 12.0
28 12.0
29 12.0
30 13.5
31 12.0
32 12.5
33 12.5
34 10.5
35 10.0
36 10.0
37 9.5
38 10.0
39 10.0
40 11.5
41 12.5
42 15.0
43 18.5
44 15.5
45 16.5
46 13.5
47 14.0
48 13.5
49 16.5
50 16.5
51 14.0
52 15.5
53 16.5
54 16.0
55 18.0
56 20.5
57 18.0
58 19.5
59 18.0
60 20.5
61 20.5
62 20.5
63 17.0
64 14.0
65 15.0
66 13.0
67 14.0
68 14.5
69 15.0
70 16.5
71 18.5
72 21.0
73 21.0
74 22.5
75 20.0
76 18.5
77 18.5
78 19.0
79 15.5
80 18.0
81 17.0
82 14.5
83 16.0
84 16.5
85 19.0
86 18.0
87 16.5
88 20.0
89 18.0
90 19.5
91 19.5
92 20.0
93 21.0
94 22.5
95 23.5
96 24.5
97 23.5
98 25.5
99 21.5
