# step Etot Epot T p 
119 -4874.5592 -4874.5592 0.0 1228.1346 
120 -4874.588 -4874.588 0.0 1226.5792 
121 -4874.5978 -4874.5978 0.0 1225.8347 
122 -4874.6013 -4874.6013 0.0 1225.4775 
123 -4874.6028 -4874.6028 0.0 1225.3003 
124 -4874.6037 -4874.6037 0.0 1225.209 
125 -4874.604 -4874.604 0.0 1225.1654 
126 -4874.6041 -4874.6041 0.0 1225.1437 
127 -4874.6042 -4874.6042 0.0 1225.1329 
128 -4874.3933 -4874.3933 0.0 1238.509 
129 -4874.594 -4874.594 0.0 1231.1558 
130 -4874.0626 -4874.0626 0.0 1246.6751 
131 -4874.425 -4874.425 0.0 1238.1239 
132 -4874.5328 -4874.5328 0.0 1234.4532 
133 -4874.5688 -4874.5688 0.0 1232.7634 
134 -4874.5829 -4874.5829 0.0 1231.9455 
135 -4874.589 -4874.589 0.0 1231.543 
136 -4874.5915 -4874.5915 0.0 1231.3492 
137 -4874.5928 -4874.5928 0.0 1231.2519 
138 -4874.5934 -4874.5934 0.0 1231.2037 
139 -4874.5937 -4874.5937 0.0 1231.1796 
140 -4874.5938 -4874.5938 0.0 1231.1677 
141 -4874.0826 -4874.0826 0.0 1246.4898 
142 -4874.4351 -4874.4351 0.0 1238.0079 
143 -4874.5375 -4874.5375 0.0 1234.3945 
144 -4874.571 -4874.571 0.0 1232.7377 
145 -4874.5839 -4874.5839 0.0 1231.9377 
146 -4874.5894 -4874.5894 0.0 1231.5445 
147 -4874.5916 -4874.5916 0.0 1231.3557 
148 -4874.5928 -4874.5928 0.0 1231.261 
149 -4874.5933 -4874.5933 0.0 1231.2141 
150 -4874.5936 -4874.5936 0.0 1231.1907 
151 -4874.5937 -4874.5937 0.0 1231.1791 
152 -4874.0922 -4874.0922 0.0 1246.4045 
153 -4874.4406 -4874.4406 0.0 1237.9366 
154 -4874.54 -4874.54 0.0 1234.3569 
155 -4874.5721 -4874.5721 0.0 1232.7222 
156 -4874.5843 -4874.5843 0.0 1231.9346 
157 -4874.5895 -4874.5895 0.0 1231.5483 
158 -4874.5917 -4874.5917 0.0 1231.3631 
159 -4874.5927 -4874.5927 0.0 1231.2704 
160 -4874.5932 -4874.5932 0.0 1231.2244 
161 -4874.5935 -4874.5935 0.0 1231.2016 
162 -4874.5936 -4874.5936 0.0 1231.1903 
163 -4874.123 -4874.123 0.0 1246.1134 
164 -4874.4498 -4874.4498 0.0 1237.9469 
165 -4874.544 -4874.544 0.0 1234.4059 
166 -4874.5741 -4874.5741 0.0 1232.7627 
167 -4874.5852 -4874.5852 0.0 1231.9674 
168 -4874.59 -4874.59 0.0 1231.5711 
169 -4874.5919 -4874.5919 0.0 1231.3798 
170 -4874.5927 -4874.5927 0.0 1231.2854 
171 -4874.5931 -4874.5931 0.0 1231.2378 
172 -4874.5934 -4874.5934 0.0 1231.214 
173 -4874.5935 -4874.5935 0.0 1231.2021 
174 -4874.1223 -4874.1223 0.0 1246.1291 
175 -4874.4507 -4874.4507 0.0 1237.92 
176 -4874.5444 -4874.5444 0.0 1234.3888 
177 -4874.5742 -4874.5742 0.0 1232.757 
178 -4874.5851 -4874.5851 0.0 1231.9693 
179 -4874.5899 -4874.5899 0.0 1231.5774 
180 -4874.5918 -4874.5918 0.0 1231.3887 
181 -4874.5926 -4874.5926 0.0 1231.2956 
182 -4874.5931 -4874.5931 0.0 1231.2487 
183 -4874.5933 -4874.5933 0.0 1231.2254 
184 -4874.5934 -4874.5934 0.0 1231.2137 
185 -4874.1216 -4874.1216 0.0 1246.1444 
186 -4874.4516 -4874.4516 0.0 1237.8932 
187 -4874.5447 -4874.5447 0.0 1234.3719 
188 -4874.5743 -4874.5743 0.0 1232.7514 
189 -4874.5851 -4874.5851 0.0 1231.9711 
190 -4874.5898 -4874.5898 0.0 1231.5836 
191 -4874.5917 -4874.5917 0.0 1231.3973 
192 -4874.5925 -4874.5925 0.0 1231.3056 
193 -4874.593 -4874.593 0.0 1231.2594 
194 -4874.5932 -4874.5932 0.0 1231.2364 
195 -4874.5933 -4874.5933 0.0 1231.225 
196 -4874.121 -4874.121 0.0 1246.1594 
197 -4874.4525 -4874.4525 0.0 1237.8662 
198 -4874.5452 -4874.5452 0.0 1234.3526 
199 -4874.5744 -4874.5744 0.0 1232.7457 
200 -4874.5851 -4874.5851 0.0 1231.9728 
201 -4874.5898 -4874.5898 0.0 1231.5896 
202 -4874.5916 -4874.5916 0.0 1231.4057 
203 -4874.5924 -4874.5924 0.0 1231.3153 
204 -4874.5929 -4874.5929 0.0 1231.2699 
205 -4874.5931 -4874.5931 0.0 1231.2474 
206 -4874.5932 -4874.5932 0.0 1231.2361 
207 -4874.1204 -4874.1204 0.0 1246.1741 
208 -4874.4533 -4874.4533 0.0 1237.8393 
209 -4874.5456 -4874.5456 0.0 1234.3358 
210 -4874.5745 -4874.5745 0.0 1232.74 
211 -4874.5851 -4874.5851 0.0 1231.9743 
212 -4874.5897 -4874.5897 0.0 1231.5954 
213 -4874.5915 -4874.5915 0.0 1231.4139 
214 -4874.5924 -4874.5924 0.0 1231.3249 
215 -4874.5928 -4874.5928 0.0 1231.2802 
216 -4874.593 -4874.593 0.0 1231.258 
217 -4874.5931 -4874.5931 0.0 1231.247 
218 -4874.1203 -4874.1203 0.0 1246.1831 
219 -4874.4482 -4874.4482 0.0 1238.0099 
220 -4874.543 -4874.543 0.0 1234.4633 
221 -4874.5734 -4874.5734 0.0 1232.8185 
222 -4874.5845 -4874.5845 0.0 1232.0249 
223 -4874.5891 -4874.5891 0.0 1231.6329 
224 -4874.5913 -4874.5913 0.0 1231.4367 
225 -4874.5922 -4874.5922 0.0 1231.3422 
226 -4874.5927 -4874.5927 0.0 1231.2945 
227 -4874.5929 -4874.5929 0.0 1231.2707 
228 -4874.593 -4874.593 0.0 1231.2588 
229 -4874.1196 -4874.1196 0.0 1246.1988 
230 -4874.4491 -4874.4491 0.0 1237.9828 
231 -4874.5433 -4874.5433 0.0 1234.4484 
232 -4874.5735 -4874.5735 0.0 1232.8128 
233 -4874.5845 -4874.5845 0.0 1232.0267 
234 -4874.5891 -4874.5891 0.0 1231.6392 
235 -4874.5912 -4874.5912 0.0 1231.4455 
236 -4874.5921 -4874.5921 0.0 1231.3523 
237 -4874.5925 -4874.5925 0.0 1231.3054 
238 -4874.5928 -4874.5928 0.0 1231.282 
239 -4874.5929 -4874.5929 0.0 1231.2704 
240 -4874.119 -4874.119 0.0 1246.2141 
241 -4874.4499 -4874.4499 0.0 1237.9557 
242 -4874.5437 -4874.5437 0.0 1234.4312 
243 -4874.5735 -4874.5735 0.0 1232.8093 
244 -4874.5845 -4874.5845 0.0 1232.0284 
245 -4874.589 -4874.589 0.0 1231.6453 
246 -4874.5913 -4874.5913 0.0 1231.4517 
247 -4874.592 -4874.592 0.0 1231.3623 
248 -4874.5924 -4874.5924 0.0 1231.3161 
249 -4874.5927 -4874.5927 0.0 1231.2931 
250 -4874.5928 -4874.5928 0.0 1231.2817 
251 -4874.1183 -4874.1183 0.0 1246.2291 
252 -4874.4508 -4874.4508 0.0 1237.9286 
253 -4874.5441 -4874.5441 0.0 1234.4141 
254 -4874.5736 -4874.5736 0.0 1232.8035 
255 -4874.5844 -4874.5844 0.0 1232.03 
256 -4874.589 -4874.589 0.0 1231.6512 
257 -4874.5912 -4874.5912 0.0 1231.4601 
258 -4874.592 -4874.592 0.0 1231.3709 
259 -4874.5923 -4874.5923 0.0 1231.3266 
260 -4874.5926 -4874.5926 0.0 1231.304 
261 -4874.5927 -4874.5927 0.0 1231.2928 
262 -4874.1177 -4874.1177 0.0 1246.2438 
263 -4874.4517 -4874.4517 0.0 1237.9014 
264 -4874.5444 -4874.5444 0.0 1234.397 
265 -4874.5737 -4874.5737 0.0 1232.7976 
266 -4874.5844 -4874.5844 0.0 1232.0314 
267 -4874.5889 -4874.5889 0.0 1231.657 
268 -4874.5911 -4874.5911 0.0 1231.4682 
